drainage,experiment,channel,structure,block,phenotype,density,treatment,exclosure,weights,light,volume,num.spp,gpp,b2,b3,t1,t2,t3,t4,t5,ele,t1e,t2e,t3e,t4e,t5e,d,de
Guanapo,1,16,8,3,LOW,HIGH,3,E,0.04,7311785,11.63505078,9,334.964,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
Aripo,1,17,1,1,HIGH,LOW,4,E,0.04,9099315,18.41809205,21,1109.5152,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Aripo,1,18,1,1,LOW,LOW,2,E,0.04,9099315,4.11411647,14,968.7975,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Aripo,1,19,2,1,HIGH,HIGH,5,E,0.04,9800985,12.38975172,12,922.1191,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Aripo,1,20,2,1,LOW,HIGH,3,E,0.04,9800985,2.390365232,23,919.4048,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Aripo,1,21,3,1,NONE,NONE,1,E,0.04,8738530,6.59253568,17,1810.374,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Aripo,1,22,3,2,LOW,HIGH,3,E,0.04,8738530,18.65937896,15,1341.0306,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Aripo,1,23,4,2,HIGH,HIGH,5,E,0.04,7320445,12.66892144,12,1062.061,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Aripo,1,24,4,2,LOW,LOW,2,E,0.04,7320445,23.15193756,20,1150.7776,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Aripo,1,25,5,2,HIGH,LOW,4,E,0.04,6313895,3.063916946,18,1038.6473,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Aripo,1,26,5,2,NONE,NONE,1,E,0.04,6313895,15.50602781,10,1513.2592,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Aripo,1,27,6,2,LOW,HIGH,3,E,0.04,10522215,18.93345127,18,804.9245,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Aripo,1,28,6,3,HIGH,LOW,4,E,0.04,10522215,7.956595637,11,1158.9903,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
Aripo,1,29,7,3,NONE,NONE,1,E,0.04,7550110,3.560045676,17,905.7776,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Aripo,1,30,7,3,HIGH,HIGH,5,E,0.04,7550110,7.243267036,8,760.8231,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Aripo,1,31,8,3,LOW,LOW,2,E,0.04,6418135,7.059909769,8,627.464,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
Aripo,1,32,8,3,NONE,NONE,1,E,0.04,6418135,15.6320791,17,1139.5776,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
